what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1419903672142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903725914
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903743471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903748272
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903783607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903840398
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903849255
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1419903873018
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419903877159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903879050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903879066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903879081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903884131
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903900950
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903929983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903933751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419903997684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1419904004556
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1419904150563
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1419904165346
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1419904168895
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1419904170458
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1419904173210
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1419904173414
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1419904177214
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1419904178520
